Match,Match Day,Day,Date,IST,UAE,Venue,Home,Away
33,39,WED,21-OCT-20,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE
34,40,THU,22-OCT-20,7:30PM,6:00PM,DUBAI,RAJASTHAN ROYALS,SUNRISERS HYDERABAD
35,41,FRI,23-OCT-20,7:30PM,6:00PM,SHARJAH,CHENNAI SUPER KINGS,MUMBAI INDIANS
36,42,SAT,24-OCT-20,3:30PM,2:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,DELHI CAPITALS
36,43,SAT,24-OCT-20,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,SUNRISERS HYDERABAD
37,44,SUN,25-OCT-20,3:30PM,2:00PM,DUBAI,ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS
37,45,SUN,25-OCT-20,7:30PM,6:00PM,ABU DHABI,RAJASTHAN ROYALS,MUMBAI INDIANS
38,46,MON,26-OCT-20,7:30PM,6:00PM,SHARJAH,KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB
39,47,TUE,27-OCT-20,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,DELHI CAPITALS
40,48,WED,28-OCT-20,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE
41,49,THU,29-OCT-20,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS
42,50,FRI,30-OCT-20,7:30PM,6:00PM,ABU DHABI,KINGS XI PUNJAB,RAJASTHAN ROYALS
43,51,SAT,31-OCT-20,3:30PM,2:00PM,DUBAI,DELHI CAPITALS,SUNRISERS HYDERABAD
43,52,SAT,31-OCT-20,7:30PM,6:00PM,SHARJAH,ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS
44,53,SUN,1-NOV-20,3:30PM,2:00PM,ABU DHABI,CHENNAI SUPER KINGS,KINGS XI PUNJAB
44,54,SUN,1-NOV-20,7:30PM,6:00PM,DUBAI,KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS
45,55,MON,2-NOV-20,7:30PM,6:00PM,ABU DHABI,DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE
46,56,TUE,3-NOV-20,7:30PM,6:00PM,SHARJAH,SUNRISERS HYDERABAD,MUMBAI INDIANS
2020
