Date,Year,Time,Teams,Venue,Match Type,Result
02/05/2011,2011,8pm,Chennai Super Kings vs Deccan Chargers,Chennai,League,
03/05/2011,2011,8pm,Deccan Chargers vs Kolkata Knight Riders,Hyderabad,League,
03/05/2011,2011,4pm,Chennai Super Kings vs Rajasthan Royals,Chennai,League,
04/05/2011,2011,8pm,Pune Warriors vs Mumbai Indians,Navi Mumbai,League,
04/05/2011,2011,4pm,Team Kochi vs Delhi Daredevils,Kochi,League,
05/05/2011,2011,8pm,Deccan Chargers vs Kings XI Punjab,Hyderabad,League,
06/05/2011,2011,8pm,Royal Challengers Bangalore vs Chennai Super Kings,Bangalore,League,
06/05/2011,2011,4pm,Kolkata Knight Riders vs Delhi Daredevils,Kolkata,League,
07/05/2011,2011,8pm,Mumbai Indians vs Kings XI Punjab,Mumbai,League,
07/05/2011,2011,4pm,Rajasthan Royals vs Deccan Chargers,Jaipur,League,
08/05/2011,2011,8pm,Kings XI Punjab vs Chennai Super Kings,Mohali,League,
09/05/2011,2011,8pm,Rajasthan Royals vs Mumbai Indians,Jaipur,League,
09/05/2011,2011,4pm,Kings XI Punjab vs Pune Warriors,Mohali,League,
10/05/2011,2011,8pm,Deccan Chargers vs Royal Challengers Bangalore,Hyderabad,League,
11/05/2011,2011,8pm,Rajasthan Royals vs Kings XI Punjab,Indore,League,
12/05/2011,2011,8pm,Chennai Super Kings vs Delhi Daredevils,Chennai,League,
12/05/2011,2011,4pm,Team Kochi vs Pune Warriors,Kochi,League,
13/05/2011,2011,8pm,Mumbai Indians vs Kolkata Knight Riders,Mumbai,League,
14/05/2011,2011,8pm,Royal Challengers Bangalore vs Deccan Chargers,Bangalore,League,
14/05/2011,2011,4pm,Kings XI Punjab vs Rajasthan Royals,Indore,League,
15/05/2011,2011,8pm,Team Kochi vs Kolkata Knight Riders,Bangalore,League,
16/05/2011,2011,8pm,Kolkata Knight Riders vs Royal Challengers Bangalore,Dharamsala,League,
17/05/2011,2011,8pm,Kings XI Punjab vs Deccan Chargers,Dharamsala,League,
17/05/2011,2011,4pm,Pune Warriors vs Mumbai Indians,Pune,League,
18/05/2011,2011,8pm,Kolkata Knight Riders vs Mumbai Indians,Kolkata,League,
19/05/2011,2011,8pm,Kings XI Punjab vs Kolkata Knight Riders,Dharamsala,League,
20/05/2011,2011,8pm,Mumbai Indians vs Rajasthan Royals,Mumbai,League,
20/05/2011,2011,4pm,Chennai Super Kings vs Deccan Chargers,Chennai,League,
21/05/2011,2011,8pm,Pune Warriors vs Royal Challengers Bangalore,Pune,League,
21/05/2011,2011,4pm,Delhi Daredevils vs Team Kochi,Delhi,League,
22/05/2011,2011,8pm,Royal Challengers Bangalore vs Pune Warriors,Bangalore,League,
24/05/2011,2011,8pm,Chennai Super Kings vs Mumbai Indians,Mumbai,Qualifier 1,
25/05/2011,2011,8pm,Kolkata Knight Riders vs Rajasthan Royals,Mumbai,Eliminator,
27/05/2011,2011,8pm,Royal Challengers Bangalore vs Mumbai Indians,Chennai,Qualifier 2,
28/05/2011,2011,8pm,Chennai Super Kings vs Kolkata Knight Riders,Chennai,Final,
Winner of season: Chennai Super Kings
2011
