pdfs/1676632383158_TATA%20IPL%202023%20-%20Match%20Schedule.pdf

Date,Year,Time,Teams,Venue,Match Type,Result
19-OCT-20,2020,7:30PM,Chennai Super Kings vs Rajasthan Royals,Abu Dhabi,League,
20-OCT-20,2020,7:30PM,Kings XI Punjab vs Delhi Capitals,Dubai,League,
21-OCT-20,2020,7:30PM,Kolkata Knight Riders vs Royal Challengers Bangalore,Abu Dhabi,League,
22-OCT-20,2020,7:30PM,Rajasthan Royals vs Sunrisers Hyderabad,Dubai,League,
23-OCT-20,2020,7:30PM,Chennai Super Kings vs Mumbai Indians,Sharjah,League,
24-OCT-20,2020,3:30PM,Kolkata Knight Riders vs Sunrisers Hyderabad,Abu Dhabi,League,
24-OCT-20,2020,7:30PM,Kings XI Punjab vs Delhi Capitals,Dubai,League,
25-OCT-20,2020,3:30PM,Royal Challengers Bangalore vs Chennai Super Kings,Dubai,League,
25-OCT-20,2020,7:30PM,Rajasthan Royals vs Mumbai Indians,Abu Dhabi,League,
26-OCT-20,2020,7:30PM,Kolkata Knight Riders vs Delhi Capitals,Sharjah,League,
27-OCT-20,2020,7:30PM,Sunrisers Hyderabad vs Kings XI Punjab,Dubai,League,
28-OCT-20,2020,7:30PM,Mumbai Indians vs Royal Challengers Bangalore,Abu Dhabi,League,
29-OCT-20,2020,7:30PM,Chennai Super Kings vs Kolkata Knight Riders,Dubai,League,
30-OCT-20,2020,7:30PM,Kings XI Punjab vs Rajasthan Royals,Abu Dhabi,League,
31-OCT-20,2020,3:30PM,Delhi Capitals vs Sunrisers Hyderabad,Dubai,League,
31-OCT-20,2020,7:30PM,Royal Challengers Bangalore vs Mumbai Indians,Sharjah,League,
1-NOV-20,2020,3:30PM,Chennai Super Kings vs Rajasthan Royals,Abu Dhabi,League,
1-NOV-20,2020,7:30PM,Kolkata Knight Riders vs Kings XI Punjab,Dubai,League,
2-NOV-20,2020,7:30PM,Delhi Capitals vs Royal Challengers Bangalore,Abu Dhabi,League,
3-NOV-20,2020,7:30PM,Sunrisers Hyderabad vs Mumbai Indians,Sharjah,League,
Winner of season: Mumbai Indians
2020


pdfs/IPL%202017_Match%20Schedule_2017_8March_A.PDF

Date,Year,Time,Teams,Venue,Match Type,Result
05-April,2017,8pm,Sunrisers Hyderabad vs Royal Challengers Bangalore,Hyderabad,League,
06-April,2017,8pm,Rising Pune Supergiant vs Mumbai Indians,Pune,League,
07-April,2017,8pm,Gujarat Lions vs Kolkata Knight Riders,Rajkot,League,
07-April,2017,4pm,Kings XI Punjab vs Rising Pune Supergiant,Indore,League,
08-April,2017,8pm,Royal Challengers Bangalore vs Sunrisers Hyderabad,Bengaluru,League,
08-April,2017,4pm,Kings XI Punjab vs Gujarat Lions,Indore,League,
09-April,2017,8pm,Mumbai Indians vs Delhi Daredevils,Mumbai,League,
10-April,2017,8pm,Kings XI Punjab vs Royal Challengers Bangalore,Indore,League,
11-April,2017,8pm,Rising Pune Supergiant vs Delhi Daredevils,Pune,League,
12-April,2017,8pm,Mumbai Indians vs Sunrisers Hyderabad,Mumbai,League,
13-April,2017,8pm,Kings XI Punjab vs Delhi Daredevils,Kolkata,League,
13-April,2017,4pm,Kolkata Knight Riders vs Rising Pune Supergiant,Delhi,League,
14-April,2017,8pm,Royal Challengers Bangalore vs Sunrisers Hyderabad,Bengaluru,League,
14-April,2017,4pm,Gujarat Lions vs Mumbai Indians,Rajkot,League,
15-April,2017,8pm,Kolkata Knight Riders vs Rising Pune Supergiant,Kolkata,League,
15-April,2017,4pm,Delhi Daredevils vs Kings XI Punjab,Delhi,League,
16-April,2017,8pm,Mumbai Indians vs Gujarat Lions,Mumbai,League,
16-April,2017,4pm,Royal Challengers Bangalore vs Rising Pune Supergiant,Bengaluru,League,
17-April,2017,8pm,Delhi Daredevils vs Sunrisers Hyderabad,Delhi,League,
18-April,2017,8pm,Sunrisers Hyderabad vs Kings XI Punjab,Hyderabad,League,
19-April,2017,8pm,Gujarat Lions vs Royal Challengers Bangalore,Rajkot,League,
20-April,2017,8pm,Sunrisers Hyderabad vs Delhi Daredevils,Hyderabad,League,
21-April,2017,8pm,Kolkata Knight Riders vs Mumbai Indians,Kolkata,League,
21-April,2017,4pm,Kings XI Punjab vs Gujarat Lions,Indore,League,
22-April,2017,8pm,Delhi Daredevils vs Mumbai Indians,Delhi,League,
22-April,2017,4pm,Rising Pune Supergiant vs Kings XI Punjab,Pune,League,
23-April,2017,8pm,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata,League,
23-April,2017,4pm,Gujarat Lions vs Sunrisers Hyderabad,Rajkot,League,
24-April,2017,8pm,Mumbai Indians vs Rising Pune Supergiant,Mumbai,League,
25-April,2017,8pm,Royal Challengers Bangalore vs Sunrisers Hyderabad,Bengaluru,League,
26-April,2017,8pm,Rising Pune Supergiant vs Kolkata Knight Riders,Pune,League,
27-April,2017,8pm,Royal Challengers Bangalore vs Gujarat Lions,Bengaluru,League,
28-April,2017,4pm,Kolkata Knight Riders vs Delhi Daredevils,Kolkata,League,
28-April,2017,8pm,Kings XI Punjab vs Sunrisers Hyderabad,Mohali,League,
29-April,2017,4pm,Gujarat Lions vs Royal Challengers Bangalore,Rajkot,League,
29-April,2017,8pm,Rising Pune Supergiant vs Mumbai Indians,Pune,League,
30-April,2017,4pm,Kings XI Punjab vs Delhi Daredevils,Mohali,League,
30-April,2017,8pm,Sunrisers Hyderabad vs Kolkata Knight Riders,Hyderabad,League,
01-May,2017,4pm,Mumbai Indians vs Royal Challengers Bangalore,Mumbai,League,
01-May,2017,8pm,Rising Pune Supergiant vs Gujarat Lions,Pune,League,
02-May,2017,8pm,Delhi Daredevils vs Sunrisers Hyderabad,Delhi,League,
03-May,2017,8pm,Kolkata Knight Riders vs Rising Pune Supergiant,Kolkata,League,
04-May,2017,8pm,Delhi Daredevils vs Gujarat Lions,Delhi,League,
05-May,2017,8pm,Royal Challengers Bangalore vs Kings XI Punjab,Bengaluru,League,
05-May,2017,4pm,Sunrisers Hyderabad vs Rising Pune Supergiant,Hyderabad,League,
06-May,2017,8pm,Mumbai Indians vs Delhi Daredevils,Mumbai,League,
06-May,2017,4pm,Royal Challengers Bangalore vs Kolkata Knight Riders,Bengaluru,League,
07-May,2017,8pm,Kings XI Punjab vs Gujarat Lions,Mohali,League,
08-May,2017,8pm,Sunrisers Hyderabad vs Mumbai Indians,Hyderabad,League,
09-May,2017,8pm,Kings XI Punjab vs Kolkata Knight Riders,Mohali,League,
10-May,2017,8pm,Gujarat Lions vs Delhi Daredevils,Kanpur,League,
11-May,2017,8pm,Mumbai Indians vs Kings XI Punjab,Mumbai,League,
12-May,2017,8pm,Delhi Daredevils vs Rising Pune Supergiant,Delhi,League,
12-May,2017,4pm,Gujarat Lions vs Sunrisers Hyderabad,Kanpur,League,
13-May,2017,8pm,Kolkata Knight Riders vs Mumbai Indians,Kolkata,League,
13-May,2017,4pm,Rising Pune Supergiant vs Kings XI Punjab,Pune,League,
14-May,2017,8pm,Delhi Daredevils vs Royal Challengers Bangalore,Delhi,League,
16-May,2017,8pm, ,TBC,Qualifier 1,
17-May,2017,8pm, ,TBC,Eliminator,
19-May,2017,8pm, ,TBC,Qualifier 2,
21-May,2017,8pm, ,Hyderabad,Final,
Winner of season: Mumbai Indians
2017


pdfs/ipl-2008-schedule-pdf.pdf

Date,Year,Time,Teams,Venue,Match Type,Result
April 18,2008,8:00 PM IST,Kolkata Knight Riders vs Royal Challengers Bangalore,M Chinnaswamy Stadium, Bangalore,League,Kolkata Knight Riders Won by 140 Run(s)
April 19,2008,4:00 PM IST,Rajasthan Royals vs Delhi Capitals,Feroz Shah Kotla, Delhi,League,Delhi Capitals Won by 9 Wicket(s)
April 19,2008,8:00 PM IST,Chennai Super Kings vs Kings XI Punjab,Punjab Cricket Association Stadium, Mohali, Chandigarh,League,Chennai Super Kings Won by 33 Run(s)
April 20,2008,4:00 PM IST,Mumbai Indians vs Royal Challengers Bangalore,Wankhede Stadium, Mumbai,League,Royal Challengers Bangalore Won by 5 Wicket(s)
April 20,2008,8:00 PM IST,Deccan Chargers vs Kolkata Knight Riders,Eden Gardens, Kolkata,League,Kolkata Knight Riders Won by 5 Wicket(s)
April 21,2008,8:00 PM IST,Kings XI Punjab vs Rajasthan Royals,Sawai Mansingh Stadium, Jaipur,League,Rajasthan Royals Won by 6 Wicket(s)
April 22,2008,8:00 PM IST,Deccan Chargers vs Delhi Capitals,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Delhi Capitals Won by 9 Wicket(s)
April 23,2008,8:00 PM IST,Chennai Super Kings vs Mumbai Indians,MA Chidambaram Stadium, Chepauk, Chennai,League,Chennai Super Kings Won by 6 Run(s)
April 24,2008,8:00 PM IST,Deccan Chargers vs Rajasthan Royals,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Rajasthan Royals Won by 3 Wicket(s)
April 25,2008,8:00 PM IST,Kings XI Punjab vs Mumbai Indians,Punjab Cricket Association Stadium, Mohali, Chandigarh,League,Kings XI Punjab Won by 66 Run(s)
April 26,2008,4:00 PM IST,Kolkata Knight Riders vs Chennai Super Kings,MA Chidambaram Stadium, Chepauk, Chennai,League,Chennai Super Kings Won by 9 Wicket(s)
April 26,2008,8:00 PM IST,Royal Challengers Bangalore vs Rajasthan Royals,M Chinnaswamy Stadium, Bangalore,League,Rajasthan Royals Won by 7 Wicket(s)
April 27,2008,4:00 PM IST,Delhi Capitals vs Kings XI Punjab,Punjab Cricket Association Stadium, Mohali, Chandigarh,League,Kings XI Punjab Won by 4 Wicket(s)
April 27,2008,8:00 PM IST,Mumbai Indians vs Deccan Chargers,Dr DY Patil Sports Academy, Mumbai,League,Deccan Chargers Won by 10 Wicket(s)
April 28,2008,8:00 PM IST,Chennai Super Kings vs Royal Challengers Bangalore,M Chinnaswamy Stadium, Bangalore,League,Chennai Super Kings Won by 13 Run(s)
April 29,2008,8:00 PM IST,Kolkata Knight Riders vs Mumbai Indians,Eden Gardens, Kolkata,League,Mumbai Indians Won by 7 Wicket(s)
April 30,2008,8:00 PM IST,Delhi Capitals vs Royal Challengers Bangalore,Feroz Shah Kotla, Delhi,League,Delhi Capitals Won by 10 Run(s)
May 1,2008,4:00 PM IST,Deccan Chargers vs Kings XI Punjab,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Kings XI Punjab Won by 7 Wicket(s)
May 1,2008,8:00 PM IST,Rajasthan Royals vs Kolkata Knight Riders,Sawai Mansingh Stadium, Jaipur,League,Rajasthan Royals Won by 45 Run(s)
May 2,2008,8:00 PM IST,Chennai Super Kings vs Delhi Capitals,MA Chidambaram Stadium, Chepauk, Chennai,League,Delhi Capitals Won by 8 Wicket(s)
May 3,2008,4:00 PM IST,Kings XI Punjab vs Kolkata Knight Riders,Punjab Cricket Association Stadium, Mohali, Chandigarh,League,Kings XI Punjab Won by 9 Run(s)
May 3,2008,8:00 PM IST,Royal Challengers Bangalore vs Deccan Chargers,M Chinnaswamy Stadium, Bangalore,League,Royal Challengers Bangalore Won by 3 Run(s)
May 4,2008,4:00 PM IST,Mumbai Indians vs Delhi Capitals,Dr DY Patil Sports Academy, Mumbai,League,Mumbai Indians Won by 29 Run(s)
May 4,2008,8:00 PM IST,Chennai Super Kings vs Rajasthan Royals,Sawai Mansingh Stadium, Jaipur,League,Rajasthan Royals Won by 8 Wicket(s)
May 5,2008,8:00 PM IST,Royal Challengers Bangalore vs Kings XI Punjab,M Chinnaswamy Stadium, Bangalore,League,Kings XI Punjab Won by 6 Wicket(s)
May 6,2008,8:00 PM IST,Chennai Super Kings vs Deccan Chargers,MA Chidambaram Stadium, Chepauk, Chennai,League,Deccan Chargers Won by 7 Wicket(s)
May 7,2008,8:00 PM IST,Rajasthan Royals vs Mumbai Indians,Dr DY Patil Sports Academy, Mumbai,League,Mumbai Indians Won by 7 Wicket(s)
May 8,2008,4:00 PM IST,Kolkata Knight Riders vs Royal Challengers Bangalore,Eden Gardens, Kolkata,League,Kolkata Knight Riders Won by 5 Run(s)
May 8,2008,8:00 PM IST,Delhi Capitals vs Chennai Super Kings,Feroz Shah Kotla, Delhi,League,Chennai Super Kings Won by 4 Wicket(s)
May 9,2008,8:00 PM IST,Deccan Chargers vs Rajasthan Royals,Sawai Mansingh Stadium, Jaipur,League,Rajasthan Royals Won by 8 Wicket(s)
May 10,2008,8:00 PM IST,Chennai Super Kings vs Kings XI Punjab,MA Chidambaram Stadium, Chepauk, Chennai,League,Chennai Super Kings Won by 18 Run(s)
May 11,2008,4:00 PM IST,Delhi Capitals vs Rajasthan Royals,Sawai Mansingh Stadium, Jaipur,League,Rajasthan Royals Won by 3 Wicket(s)
May 11,2008,8:00 PM IST,Kolkata Knight Riders vs Deccan Chargers,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Kolkata Knight Riders Won by 23 Run(s)
May 12,2008,8:00 PM IST,Royal Challengers Bangalore vs Kings XI Punjab,Punjab Cricket Association Stadium, Mohali, Chandigarh,League,Kings XI Punjab Won by 9 Wicket(s)
May 13,2008,8:00 PM IST,Kolkata Knight Riders vs Delhi Capitals,Eden Gardens, Kolkata,League,Kolkata Knight Riders Won by 23 Run(s)
May 14,2008,8:00 PM IST,Chennai Super Kings vs Mumbai Indians,Wankhede Stadium, Mumbai,League,Mumbai Indians Won by 9 Wicket(s)
May 15,2008,8:00 PM IST,Delhi Capitals vs Deccan Chargers,Feroz Shah Kotla, Delhi,League,Delhi Capitals Won by 12 Run(s)
May 16,2008,8:00 PM IST,Kolkata Knight Riders vs Mumbai Indians,Wankhede Stadium, Mumbai,League,Mumbai Indians Won by 8 Wicket(s)
May 17,2008,4:00 PM IST,Delhi Capitals vs Kings XI Punjab,Feroz Shah Kotla, Delhi,League,Kings XI Punjab Won by DL Method
May 17,2008,8:00 PM IST,Rajasthan Royals vs Royal Challengers Bangalore,Sawai Mansingh Stadium, Jaipur,League,Rajasthan Royals Won by 65 Run(s)
May 18,2008,4:00 PM IST,Kolkata Knight Riders vs Chennai Super Kings,Eden Gardens, Kolkata,League,Chennai Super Kings Won by DL Method
May 18,2008,8:00 PM IST,Mumbai Indians vs Deccan Chargers,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Mumbai Indians Won by 25 Run(s)
May 19,2008,8:00 PM IST,Royal Challengers Bangalore vs Delhi Capitals,M Chinnaswamy Stadium, Bangalore,League,Delhi Capitals Won by 5 Wicket(s)
May 20,2008,8:00 PM IST,Kolkata Knight Riders vs Rajasthan Royals,Eden Gardens, Kolkata,League,Rajasthan Royals Won by 6 Wicket(s)
